,신규 확진자 수
1,27885
2,46930
3,43675
4,59268
5,53191
6,49449
7,39553
8,37479
9,74222
10,66850
11,56600
12,80434
13,67812
14,56803
15,66061
16,81388
17,128356
18,81993
19,82125
20,65864
21,41077
22,65032
23,101133
24,77770
25,66943
