,누적 확진자 수
강남구,"117,573"
강동구,"106,653"
강북구,"68,116"
강서구,"128,701"
관악구,"115,209"
광진구,"86,488"
구로구,"97,546"
금천구,"58,920"
노원구,"117,632"
도봉구,"73,167"
동대문구,"85,386"
동작구,"94,437"
마포구,"87,350"
서대문구,"70,928"
서초구,"93,238"
성동구,"74,512"
성북구,"102,491"
송파구,"154,279"
양천구,"101,656"
영등포구,"98,149"
용산구,"49,989"
은평구,"104,591"
종로구,"35,766"
중구,"32,582"
중랑구,"91,639"
기타,"146,997"
