,신규 확진자 수
강남구,"+3,499"
강동구,"+3,254"
강북구,"+1,740"
강서구,"+3,914"
관악구,"+3,219"
광진구,"+2,293"
구로구,"+2,783"
금천구,"+1,599"
노원구,"+3,245"
도봉구,"+2,007"
동대문구,"+2,213"
동작구,"+2,670"
마포구,"+2,445"
서대문구,"+2,229"
서초구,"+2,610"
성동구,"+1,895"
성북구,"+3,032"
송파구,"+4,148"
양천구,"+3,007"
영등포구,"+2,516"
용산구,"+1,237"
은평구,"+3,191"
종로구,+940
중구,+784
중랑구,"+2,387"
기타,"+4,086"
