,누적 확진자 수
1,"156,505"
2,"158,772"
3,"160,871"
4,"163,144"
5,"165,175"
6,"166,583"
7,"168,703"
8,"171,604"
9,"174,394"
10,"177,194"
11,"180,029"
12,"182,557"
13,"185,107"
14,"187,169"
