,누적 확진자 수
강남구,"10,591"
강동구,"7,627"
강북구,"5,406"
강서구,"8,586"
관악구,"9,497"
광진구,"5,939"
구로구,"9,088"
금천구,"4,851"
노원구,"7,682"
도봉구,"5,403"
동대문구,"7,692"
동작구,"7,393"
마포구,"6,338"
서대문구,"5,001"
서초구,"6,929"
성동구,"4,783"
성북구,"7,764"
송파구,"11,288"
양천구,"6,523"
영등포구,"8,949"
용산구,"4,489"
은평구,"7,946"
종로구,"3,310"
중구,"3,150"
중랑구,"7,018"
기타,"13,926"
